Date,regime,regime_prob_0,regime_prob_1,regime_prob_2,regime_prob_3
2018-10-12,3,4.543486952972733e-23,2.2617019239453418e-08,3.6052343084155896e-36,0.999999977382686
2018-10-15,3,9.135554715033174e-21,4.10195794300372e-08,1.150526555928994e-33,0.9999999589799708
2018-10-16,3,2.2225491809344874e-22,4.324373915887492e-06,4.623869962556078e-37,0.9999956756257967
2018-10-17,3,5.222960379007325e-23,2.980251886805673e-06,5.655644379711236e-33,0.9999970197485554
2018-10-18,3,3.561740789502552e-27,2.2354940435275126e-07,8.229435096771085e-32,0.9999997764498653
2018-10-19,3,9.135381136163552e-27,2.9210832336279325e-08,7.429925045143021e-33,0.9999999707888496
2018-10-22,3,7.738124218187733e-29,7.027279506784977e-08,2.871615453927163e-34,0.9999999297269848
2018-10-23,3,2.3804760681812548e-29,3.5659345621740188e-09,2.526315045458802e-32,0.9999999964347808
2018-10-24,3,3.708328766201605e-30,1.3546396998705656e-09,2.0079067576788223e-37,0.9999999986448529
2018-10-25,3,2.163067024867635e-30,6.731932643194673e-10,7.599527991902077e-35,0.9999999993269739
2018-10-26,3,2.6828598424882785e-30,1.309332586256485e-10,1.6732838048723972e-32,0.9999999998690328
2018-10-29,3,2.14357207101388e-31,5.085283640847073e-10,3.551835273148889e-34,0.999999999490683
2018-10-30,3,8.154830719292006e-32,3.6465678696646227e-10,5.721890496216358e-32,0.9999999996362021
2018-10-31,3,2.98806346271656e-28,4.787235519027952e-10,1.315702084076855e-38,0.9999999995216058
2018-11-01,3,6.898452114997958e-27,1.2508329263544686e-09,7.486521635091903e-36,0.9999999987485353
2018-11-02,3,2.656397487646252e-27,1.828004328096891e-09,3.856951797582425e-36,0.9999999981719156
2018-11-05,3,5.6920643863304885e-27,9.947350159033141e-09,9.100777431495654e-40,0.999999990051947
2018-11-06,3,9.976527922182084e-28,1.4493025045994744e-07,3.4974015915458378e-43,0.9999998550702108
2018-11-07,3,2.378665541287997e-25,6.066039300865714e-07,1.2788665427783341e-39,0.9999993933963217
2018-11-08,3,2.9706393162712777e-26,1.3754625226160058e-06,1.5108575081629889e-40,0.9999986245375476
2018-11-09,3,9.811956063108327e-26,3.3986361999419203e-07,1.5900404781336475e-37,0.9999996601364396
2018-11-12,3,7.646257680076705e-28,8.140894036879399e-07,1.9385751934133274e-42,0.9999991859098049
2018-11-13,3,4.6987306021720305e-30,8.327077300416518e-08,4.18931344458545e-38,0.9999999167284875
2018-11-14,3,3.026552097623374e-32,1.683510807627946e-09,1.5303297668898281e-37,0.9999999983156158
2018-11-15,3,4.426930952556586e-34,7.252844613597377e-11,1.3682496855170202e-37,0.9999999999272404
2018-11-16,3,1.1437317040905838e-33,1.465703040237992e-11,4.2581774578582553e-35,0.9999999999854481
2018-11-19,3,1.9422756390227184e-34,1.802714361960959e-11,1.1048117278724392e-37,0.9999999999818101
2018-11-20,3,2.9126586494364293e-35,2.176053137418907e-12,3.360995105794181e-38,0.999999999998181
2018-11-21,3,8.016017520583341e-33,7.226654260570747e-11,3.1850191782720183e-38,0.9999999999272404
2018-11-23,3,3.237727210461078e-31,2.808269990028589e-11,7.739065699650137e-37,0.9999999999727152
2018-11-26,3,9.190895058454953e-30,1.3481505597018748e-08,3.610055310563676e-35,0.9999999865176507
2018-11-27,3,8.968906927934081e-30,7.604425135288125e-09,1.1692415558071507e-33,0.9999999923948053
2018-11-28,3,3.178231751726022e-29,5.810717118513509e-08,8.337298719736156e-36,0.9999999418923852
2018-11-29,3,5.884953607502247e-26,1.2183552008494866e-07,1.7382552918775654e-35,0.9999998781640972
2018-11-30,3,5.012911121681376e-27,3.0061526547691637e-05,7.460694943235251e-31,0.9999699384741887
2018-12-04,3,1.593679869858393e-28,5.911794807069217e-05,4.3243893686494285e-36,0.9999408820526102
2018-12-06,3,5.05587853279381e-31,3.168443868492543e-06,8.341661311266415e-32,0.9999968315564902
2018-12-07,3,3.3083373365058704e-31,9.914400396215496e-07,2.017403039359939e-33,0.9999990085603171
2018-12-10,3,4.429722939058201e-32,5.489903634176372e-07,8.151185612235032e-34,0.9999994510091398
2018-12-12,3,1.2404536872345963e-29,2.871534561457476e-06,1.3685326770953337e-34,0.9999971284655959
2018-12-13,3,9.067769723142918e-30,1.1912301450565734e-05,1.9857710337994427e-32,0.9999880876985231
2018-12-14,3,2.3785348595579625e-31,3.852813379082876e-06,7.244599823551533e-32,0.9999961471859575
2018-12-17,3,1.1450810273584426e-33,3.3534898652297923e-07,1.883976407907364e-33,0.9999996646511697
